Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Diego Conde,ESP,GK,Villarreal,25,1998,21.8,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,9,2
Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,9.4,15,12,6,7,2,9,27,33.3,18,14,2,12,6,21,10,0
Copete,ESP,DF,Mallorca,24,1999,17.0,29,17,18,10,1,11,12,91.7,1,24,16,8,17,46,123,2
Iker Córdoba,ESP,DF,Valencia,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,8.9,9,3,4,1,4,5,15,33.3,10,10,0,10,4,13,8,0
Thierry Correia,POR,DF,Valencia,25,1999,8.5,27,18,19,5,3,13,23,56.5,10,10,1,9,4,31,18,0
Coba da Costa,ESP,"MF,FW",Getafe,22,2002,11.2,29,13,9,16,4,13,26,50.0,13,24,0,24,8,37,10,0
Logan Costa,CPV,DF,Villarreal,23,2001,28.7,38,21,25,12,1,24,29,82.8,5,25,14,11,21,59,115,2
Samu Costa,POR,MF,Mallorca,23,2000,29.4,90,44,45,42,3,35,79,44.3,44,48,15,33,32,122,85,1
Thibaut Courtois,BEL,GK,Real Madrid,32,1992,30.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,1
Juan Cruz Armada,ESP,DF,Osasuna,32,1992,16.6,26,14,11,13,2,15,24,62.5,9,15,4,11,9,35,68,0
Juan Cruz,ESP,"FW,MF",Leganés,24,2000,25.1,32,19,14,16,2,17,35,48.6,18,18,2,16,13,45,31,0
Pau Cubarsí,ESP,DF,Barcelona,17,2007,29.1,34,23,21,10,3,19,30,63.3,11,12,9,3,16,50,86,1
Cucho,COL,FW,Betis,25,1999,12.7,15,10,2,5,8,6,11,54.5,5,13,1,12,7,22,4,0
Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0
Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,14.8,8,6,3,3,2,2,7,28.6,5,5,1,4,2,10,4,0
Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,30.5,40,26,15,16,9,17,46,37.0,29,19,1,18,16,56,23,1
Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,23.4,33,26,12,16,5,14,33,42.4,19,25,2,23,6,39,15,3
Mouctar Diakhaby,GUI,DF,Valencia,27,1996,7.3,8,3,8,0,0,4,6,66.7,2,8,6,2,11,19,56,0
Assane Diao,SEN,FW,Betis,18,2005,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0
Moussa Diarra,MLI,DF,Alavés,23,2000,20.7,40,24,19,18,3,17,29,58.6,12,15,5,10,21,61,46,1
Brahim Díaz,MAR,"FW,MF",Real Madrid,24,1999,15.4,25,19,9,13,3,7,19,36.8,12,16,1,15,4,29,2,1
Daniel Díaz,ESP,MF,Real Sociedad,18,2006,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Pedro Díaz,ESP,MF,Rayo Vallecano,26,1998,13.5,23,15,7,14,2,14,41,34.1,27,16,0,16,7,30,7,1
