Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Martín Montoya,ESP,DF,Betis,31,1991,5.0,244,199,45,6,0,2,10,39,0,0,0,0,190,0,5
Álvaro Morata,ESP,FW,Atlético Madrid,29,1992,21.1,422,405,15,0,3,6,4,2,0,0,0,0,270,2,7
Jon Morcillo,ESP,"FW,MF",Athletic Club,23,1998,0.8,44,43,0,0,0,0,6,0,0,0,0,0,32,1,0
Alberto Moreno,ESP,DF,Villarreal,30,1992,14.4,730,617,107,15,1,4,36,85,7,3,3,0,605,6,13
Álex Moreno,ESP,DF,Betis,29,1993,15.0,695,541,153,13,0,5,28,140,0,0,0,0,525,1,25
Diego Moreno,ESP,DF,Osasuna,21,2001,7.1,324,246,78,3,0,1,20,75,0,0,0,0,216,0,14
Gerard Moreno,ESP,FW,Villarreal,30,1992,13.7,483,458,18,0,5,6,8,3,0,0,0,0,353,7,18
Tete Morente,ESP,"MF,DF",Elche,25,1996,23.0,785,717,67,8,0,2,99,54,5,2,1,0,571,1,45
Ilaix Moriba,GUI,MF,Valencia,19,2003,11.2,501,491,8,4,4,3,4,3,0,0,0,0,403,2,10
Manu Morlanes,ESP,MF,Villarreal,23,1999,1.8,46,42,3,3,0,0,0,0,0,0,0,0,36,1,2
Manu Morlanes,ESP,MF,Mallorca,23,1999,7.8,226,222,3,2,2,3,2,0,0,0,0,0,190,1,5
Loren Morón,ESP,FW,Betis,28,1993,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Cristhian Mosquera,ESP,DF,Valencia,18,2004,1.6,65,46,19,0,0,0,1,18,0,0,0,0,53,0,0
Abdul Mumin,GHA,DF,Rayo Vallecano,24,1998,10.2,390,370,19,15,0,4,3,4,0,0,0,0,299,1,3
Iker Muniain,ESP,"MF,FW",Athletic Club,29,1992,18.8,1110,944,160,58,6,3,113,9,82,13,54,0,890,6,13
Aihen Muñoz,ESP,DF,Real Sociedad,24,1997,19.5,1027,824,196,16,0,3,54,180,0,0,0,0,781,7,29
Iker Muñoz,ESP,MF,Osasuna,19,2002,2.8,111,107,3,2,0,1,0,1,0,0,0,0,90,1,0
Pablo Muñoz,ESP,MF,Rayo Vallecano,18,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Vedat Muriqi,KVX,FW,Mallorca,28,1994,32.6,827,818,9,0,3,4,11,0,0,0,0,0,472,0,31
Yunus Musah,USA,MF,Valencia,19,2002,23.4,771,757,12,3,3,11,40,9,0,0,0,0,604,2,29
Francisco Mwepu,ZAM,FW,Cádiz,22,2000,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Nacho,ESP,DF,Real Madrid,32,1990,18.2,1184,1072,112,32,0,5,14,76,0,0,0,0,1085,0,7
Juanjo Narváez,COL,"MF,FW",Valladolid,27,1995,1.6,36,35,0,0,0,0,1,0,0,0,0,0,25,1,2
