Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Arthur Desmas,FRA,GK,Le Havre,30.0,1994.0,18.0,2,0,0,1,6,0,0,0,0,0,1,0,12,2,0,100.0
Mamadou Diakhon,FRA,"FW,MF",Reims,18.0,2005.0,9.5,2,0,0,5,22,0,33,4,8,1,0,0,38,1,13,7.1
Bafodé Diakité,FRA,DF,Lille,23.0,2001.0,30.7,8,1,1,44,17,1,4,27,18,0,1,0,139,61,23,72.6
Oumar Diakité,CIV,FW,Reims,20.0,2003.0,18.1,6,0,0,27,25,11,7,3,13,0,0,0,59,25,59,29.8
Habib Diarra,SEN,"MF,FW",Strasbourg,20.0,2004.0,26.1,6,0,0,26,52,1,54,13,13,1,0,0,90,12,16,42.9
Krépin Diatta,SEN,"DF,FW",Monaco,25.0,1999.0,5.6,3,0,0,14,7,2,15,9,12,0,0,0,36,15,9,62.5
Kandet Diawara,GUI,FW,Le Havre,24.0,2000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mahamadou Diawara,FRA,MF,Le Havre,19.0,2005.0,6.5,0,0,0,15,7,0,5,13,12,0,0,0,40,2,7,22.2
Mahamadou Diawara,FRA,MF,Lyon,19.0,2005.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
Bamba Dieng,SEN,FW,Angers,24.0,2000.0,5.9,1,0,0,9,13,4,5,0,1,1,0,0,5,9,24,27.3
Kembo Diliwidi,FRA,DF,Lens,18.0,2006.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Sinaly Diomande,CIV,DF,Auxerre,23.0,2001.0,21.6,6,0,0,24,19,0,1,30,19,0,1,1,86,28,22,56.0
Lois Diony,FRA,FW,Angers,31.0,1992.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Sérigné Diop,SEN,FW,Brest,19.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sofiane Diop,MAR,"MF,FW",Nice,24.0,2000.0,11.8,3,0,0,17,19,3,33,17,16,0,0,0,73,3,8,27.3
Andy Diouf,FRA,MF,Lens,21.0,2003.0,24.7,2,0,0,43,21,2,30,15,26,0,1,0,154,18,31,36.7
Yehvann Diouf,SEN,GK,Reims,24.0,1999.0,34.0,1,0,0,0,3,0,0,1,1,0,0,0,45,6,0,100.0
Assane Dioussé,SEN,MF,Auxerre,26.0,1997.0,7.4,1,0,0,18,11,0,1,12,7,0,0,0,41,1,3,25.0
Álex Domínguez,ESP,GK,Toulouse,26.0,1998.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gianluigi Donnarumma,ITA,GK,Paris S-G,25.0,1999.0,23.2,2,0,0,0,3,0,0,0,1,0,0,0,40,4,0,100.0
Sékou Doucoure,FRA,DF,Nantes,19.0,2005.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Désiré Doué,FRA,"FW,MF",Paris S-G,19.0,2005.0,19.2,1,0,0,28,44,1,78,13,30,2,0,0,93,8,10,44.4
Guela Doué,CIV,DF,Strasbourg,21.0,2002.0,30.2,7,0,0,41,19,0,46,34,45,0,1,0,162,58,37,61.1
Douglas,BRA,MF,Nantes,27.0,1997.0,25.6,8,0,0,42,36,0,10,32,42,0,1,0,111,23,35,39.7
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,21.0,2003.0,29.3,7,0,0,30,17,0,1,25,22,0,0,1,103,26,16,61.9
Kamory Doumbia,MLI,"MF,FW",Brest,21.0,2003.0,14.7,1,0,0,17,22,1,48,28,29,0,0,0,87,10,22,31.3
Amidou Doumbouya,FRA,DF,Nice,16.0,2007.0,0.5,0,0,0,0,0,0,2,1,1,0,0,0,6,0,0,
Jean-Kevin Duverne,HAI,DF,Nantes,27.0,1997.0,6.0,2,0,0,14,6,0,9,8,12,0,0,0,20,9,3,75.0
Stefan Džodić,SRB,"DF,MF",Montpellier,19.0,2005.0,2.7,2,1,0,4,2,0,0,5,5,0,0,0,10,2,6,25.0
Aron Dønnum,NOR,"DF,MF",Toulouse,26.0,1998.0,29.9,6,0,0,38,55,0,117,28,35,0,0,0,171,12,17,41.4
Noah Edjouma,FRA,"MF,FW",Toulouse,18.0,2005.0,1.9,0,1,0,4,3,0,6,2,2,0,0,0,8,2,3,40.0
Jacques Ekomie,GAB,"DF,FW",Angers,20.0,2003.0,7.7,1,0,0,11,21,1,23,4,14,0,0,0,33,11,13,45.8
