Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Alen Halilović,CRO,"MF,FW",Fortuna Sittard,27.0,1996.0,23.3,989,833,156,53,2,27,120,8,70,22,15,2,767,0,12
Denzel Hall,NED,DF,Heerenveen,22.0,2001.0,4.6,219,179,40,2,0,0,5,38,0,0,0,0,182,0,2
Saïd Hamulic,BIH,FW,Vitesse,22.0,2000.0,7.9,105,91,14,0,0,0,8,1,0,0,0,0,71,0,3
Dávid Hancko,SVK,DF,Feyenoord,25.0,1997.0,33.7,3030,2878,143,51,3,7,35,44,0,0,0,0,2671,9,18
Tim Handwerker,GER,"FW,DF",Utrecht,25.0,1998.0,0.2,6,4,2,0,0,0,0,2,0,0,0,0,3,0,0
Kornelius Hansen,NOR,FW,Almere City,22.0,2001.0,15.4,306,294,9,0,2,0,17,2,5,0,1,0,191,3,15
Sontje Hansen,CUW,FW,NEC Nijmegen,21.0,2002.0,21.2,520,509,9,1,4,1,40,5,2,0,0,0,365,2,23
Emil Hansson,SWE,"FW,MF",Heracles Almelo,25.0,1998.0,20.9,711,680,26,4,1,2,83,14,6,3,1,0,524,5,32
Lennard Hartjes,NED,MF,Excelsior,20.0,2003.0,1.0,42,42,0,0,1,0,0,0,0,0,0,0,38,0,0
Quilindschy Hartman,NED,DF,Feyenoord,21.0,2001.0,23.0,1735,1532,195,29,13,11,66,156,10,7,1,0,1399,8,36
Jorrel Hato,NED,DF,Ajax,17.0,2006.0,32.9,2689,2519,166,60,5,9,9,78,0,0,0,0,2471,4,13
Pantelis Hatzidiakos,GRE,DF,AZ Alkmaar,26.0,1997.0,2.0,149,144,5,5,0,0,4,0,0,0,0,0,130,0,1
Mike Hauptmeijer,NED,GK,Zwolle,26.0,1997.0,2.0,99,74,25,3,0,0,0,0,0,0,0,0,68,0,0
Thom Haye,IDN,MF,Heerenveen,28.0,1995.0,29.0,1977,1764,208,100,4,31,146,9,97,43,38,0,1592,5,33
Nazjir Held,CUW,DF,Utrecht,17.0,2005.0,0.3,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1
Jordan Henderson,ENG,MF,Ajax,33.0,1990.0,8.3,757,697,59,28,2,2,40,5,23,8,8,1,650,1,10
Ramon Hendriks,NED,DF,Vitesse,22.0,2001.0,29.4,1618,1520,96,41,2,21,6,33,0,0,0,0,1338,2,25
