Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Stijn van Gassel,NED,GK,Excelsior,26.0,1996.0,34.0,7,0.21,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lutsharel Geertruida,NED,DF,Feyenoord,23.0,2000.0,33.8,100,2.96,87,0,2,5,4,2,9,0.27,7,0,0,0,1,1
Anwar El Ghazi,NED,FW,PSV Eindhoven,28.0,1995.0,0.0,1,22.5,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Teun Gijselhart,NED,MF,Zwolle,18.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Santiago Giménez,MEX,FW,Feyenoord,22.0,2001.0,26.3,72,2.73,39,1,6,15,10,1,12,0.46,7,0,2,2,1,0
Marco van Ginkel,NED,"MF,FW",Vitesse,30.0,1992.0,21.8,45,2.06,35,0,1,3,6,0,3,0.14,2,0,0,1,0,0
Paul Gladon,NED,FW,Fortuna Sittard,31.0,1992.0,1.9,7,3.66,4,0,0,2,1,0,0,0.0,0,0,0,0,0,0
Mika Godts,BEL,"FW,MF",Ajax,18.0,2005.0,6.4,14,2.2,13,0,1,0,0,0,3,0.47,3,0,0,0,0,0
Wouter Goes,NED,DF,AZ Alkmaar,19.0,2004.0,12.6,14,1.11,13,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Roberto González,ESP,"FW,MF",NEC Nijmegen,22.0,2001.0,15.4,47,3.06,31,1,6,3,6,0,9,0.59,5,1,0,0,3,0
Tristan Gooijer,NED,"DF,MF",Ajax,18.0,2004.0,6.3,7,1.11,6,0,1,0,0,0,2,0.32,1,0,1,0,0,0
Jay Gorter,NED,GK,Ajax,23.0,2000.0,7.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kenzo Goudmijn,NED,MF,AZ Alkmaar,21.0,2001.0,2.7,8,2.94,6,1,1,0,0,0,1,0.37,1,0,0,0,0,0
Kenzo Goudmijn,NED,"MF,FW",Excelsior,21.0,2001.0,17.4,50,2.87,37,4,5,2,2,0,6,0.34,4,1,0,1,0,0
Iman Griffith,NED,"FW,MF",Fortuna Sittard,21.0,2001.0,2.7,2,0.73,1,0,0,0,1,0,1,0.37,0,0,0,0,1,0
Axel Guessand,FRA,DF,Volendam,18.0,2004.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rodrigo Guth,BRA,DF,Fortuna Sittard,22.0,2000.0,31.3,44,1.41,42,1,0,1,0,0,4,0.13,4,0,0,0,0,0
Jonathan de Guzmán,NED,MF,Sparta R'dam,35.0,1987.0,21.4,58,2.71,39,10,2,4,3,0,4,0.19,3,1,0,0,0,0
Milan de Haan,NED,MF,Volendam,19.0,2003.0,24.1,30,1.24,24,0,0,4,1,1,4,0.17,2,0,0,1,0,1
Jesse van de Haar,NED,FW,Utrecht,18.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Anis Hadj Moussa,ALG,FW,Vitesse,21.0,2002.0,9.4,58,6.14,18,17,14,7,1,1,2,0.21,0,2,0,0,0,0
Alen Halilović,CRO,"MF,FW",Fortuna Sittard,27.0,1996.0,23.3,102,4.38,56,27,7,7,4,1,6,0.26,2,2,2,0,0,0
