Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
250,Martin Hongla,cm CMR,MF,Hellas Verona,24,1998,9,6,523,5.8,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,6,24,10,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
251,Petko Hristov,bg BUL,DF,Spezia,23,1999,9,4,365,4.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
252,Ajdin Hrustic,au AUS,MF,Hellas Verona,26,1996,6,3,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,7,8,12,0.00,0.00,0.00,0.00,0.00,0.13,0.24,0.37,0.13,0.37,Matches
253,Elseid Hysaj,al ALB,DF,Lazio,28,1994,34,22,1998,22.2,1,1,2,1,0,0,3,0,0.2,0.2,1.1,1.3,36,103,60,0.05,0.05,0.09,0.05,0.09,0.01,0.05,0.06,0.01,0.06,Matches
254,Rasmus Højlund,dk DEN,FW,Atalanta,19,2003,32,20,1834,20.4,9,2,11,9,0,0,1,0,9.5,9.5,2.4,11.8,40,37,224,0.44,0.10,0.54,0.44,0.54,0.47,0.12,0.58,0.47,0.58,Matches
255,Roger Ibanez,br BRA,DF,Roma,23,1998,33,32,2796,31.1,3,0,3,3,0,0,11,1,3.0,3.0,0.6,3.5,24,77,9,0.10,0.00,0.10,0.10,0.10,0.10,0.02,0.11,0.10,0.11,Matches
256,Zlatan Ibrahimović,se SWE,FW,Milan,40,1981,4,1,146,1.6,1,0,1,0,1,1,0,0,1.2,0.4,0.2,0.6,0,4,10,0.62,0.00,0.62,0.00,0.00,0.72,0.11,0.84,0.24,0.35,Matches
257,Antonio Iervolino,it ITA,MF,Salernitana,19,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
258,Igor,br BRA,DF,Fiorentina,24,1998,27,23,2057,22.9,0,0,0,0,0,0,10,1,0.5,0.5,0.2,0.8,19,76,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
259,Jonathan Ikone,fr FRA,FW,Fiorentina,24,1998,33,24,2007,22.3,4,4,8,4,0,0,4,0,4.1,4.1,3.7,7.8,83,67,178,0.18,0.18,0.36,0.18,0.36,0.18,0.17,0.35,0.18,0.35,Matches
260,Ivan Ilić,rs SRB,MF,Hellas Verona,21,2001,11,10,851,9.5,0,1,1,0,0,0,1,0,0.4,0.4,1.0,1.4,18,39,20,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14,Matches
261,Ivan Ilić,rs SRB,MF,Torino,21,2001,14,13,1177,13.1,2,2,4,2,0,0,3,0,0.2,0.2,1.1,1.3,29,66,28,0.15,0.15,0.31,0.15,0.31,0.02,0.08,0.10,0.02,0.10,Matches
262,Samuel Iling-Junior,eng ENG,"DF,FW",Juventus,18,2003,12,1,318,3.5,1,1,2,1,0,0,1,0,0.7,0.7,0.2,1.0,11,18,36,0.28,0.28,0.57,0.28,0.57,0.21,0.07,0.28,0.21,0.28,Matches
263,Emirhan İlkhan,tr TUR,MF,Torino,18,2004,4,1,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.14,0.05,0.14,Matches
264,Emirhan İlkhan,tr TUR,MF,Sampdoria,18,2004,8,0,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,8,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
265,Ciro Immobile,it ITA,FW,Lazio,32,1990,31,27,2219,24.7,12,5,17,8,4,5,3,0,14.2,10.3,1.9,12.2,40,43,174,0.49,0.20,0.69,0.32,0.53,0.57,0.08,0.65,0.42,0.49,Matches
266,Ardian Ismajli,al ALB,DF,Empoli,25,1996,25,22,2094,23.3,0,0,0,0,0,0,3,0,0.7,0.7,0.3,1.0,10,42,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
