Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Archie Gray,ENG,"DF,MF",Tottenham,18.0,2006.0,19.5,1145,1053,88,30,1,3,17,45,4,0,4,0,1001,4,18
Jack Grealish,ENG,"FW,MF",Manchester City,28.0,1995.0,8.0,436,418,18,5,0,0,20,4,9,4,0,0,382,0,11
Jacob Greaves,ENG,DF,Ipswich Town,23.0,2000.0,24.5,1121,1041,78,30,0,0,1,23,0,0,0,0,962,2,4
Brajan Gruda,GER,"MF,FW",Brighton,20.0,2004.0,7.6,251,211,40,7,2,2,29,10,17,8,7,1,187,0,3
Albert Grønbaek,DEN,"FW,MF",Southampton,23.0,2001.0,1.6,18,18,0,0,0,0,1,0,0,0,0,0,13,0,1
Gonçalo Guedes,POR,"MF,FW",Wolves,27.0,1996.0,11.1,349,312,34,0,1,5,22,14,1,1,0,0,259,3,10
Marc Guéhi,ENG,DF,Crystal Palace,24.0,2000.0,34.0,1765,1664,95,76,7,14,13,6,0,0,0,0,1473,6,9
Luis Guilherme,BRA,"MF,FW",West Ham,18.0,2006.0,1.7,67,64,3,0,0,0,8,1,2,0,2,0,58,0,2
Bruno Guimarães,BRA,MF,Newcastle Utd,26.0,1997.0,36.3,1798,1708,81,70,22,14,28,3,5,2,2,0,1481,9,38
Marc Guiu,ESP,FW,Chelsea,18.0,2006.0,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
İlkay Gündoğan,GER,MF,Manchester City,33.0,1990.0,24.7,1703,1590,108,33,7,3,60,4,46,31,4,1,1525,5,21
Malo Gusto,FRA,DF,Chelsea,21.0,2003.0,20.7,1385,1230,153,37,2,3,53,116,0,0,0,0,1198,2,26
