Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Bilal Brahimi,ALG,FW,Nice,23,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58
Bilal Brahimi,ALG,"FW,MF",Brest,23,2000,18,1,221,2.5,0,0,0,0,0,0,1,1,0.1,0.1,0.3,0.4,15,9,39,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.15,0.04,0.15
Lilian Brassier,FRA,DF,Brest,23,1999,30,30,2677,29.7,3,0,3,3,0,0,11,1,1.1,1.1,0.6,1.6,20,121,5,0.1,0.0,0.1,0.1,0.1,0.04,0.02,0.06,0.04,0.06
Maxime Busi,BEL,"FW,DF",Reims,23,1999,5,1,162,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,3,12,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21
Marcin Bułka,POL,GK,Nice,23,1999,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rémy Cabella,FRA,"FW,MF",Lille,33,1990,30,14,1477,16.4,2,2,4,2,0,0,0,0,5.2,5.2,3.3,8.5,72,106,160,0.12,0.12,0.24,0.12,0.24,0.32,0.2,0.52,0.32,0.52
Duje Ćaleta-Car,CRO,DF,Lyon,26,1996,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,5,61,1,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
Lamine Camara,SEN,MF,Metz,19,2004,31,26,2255,25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23,97,69,0.04,0.16,0.2,0.04,0.2,0.09,0.13,0.22,0.06,0.19
Mahdi Camara,FRA,MF,Brest,25,1998,32,26,2020,22.4,7,3,10,6,1,1,7,0,4.9,4.1,3.1,7.1,37,81,129,0.31,0.13,0.45,0.27,0.4,0.22,0.14,0.35,0.18,0.32
Mohamed Camara,MLI,MF,Monaco,23,2000,20,14,1035,11.5,1,2,3,0,1,1,4,0,1.5,0.7,0.6,1.3,14,76,22,0.09,0.17,0.26,0.0,0.17,0.13,0.06,0.18,0.06,0.11
Axel Camblan,FRA,FW,Brest,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5,1,8,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.29,0.25,0.29
Fali Candé,GNB,DF,Metz,25,1998,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,4,38,3,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.06,0.04,0.06
Gino Caoki,FRA,MF,Lorient,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxence Caqueret,FRA,MF,Lyon,23,2000,34,34,3022,33.6,1,3,4,1,0,0,1,0,2.1,2.1,6.0,8.1,70,286,96,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24
Igor Carioca,BRA,"DF,MF",Lorient,26,1996,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,8,16,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1
Antonin Cartillier,FRA,DF,Monaco,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josué Casimir,HAI,"FW,DF",Le Havre,21,2001,30,25,2016,22.4,0,5,5,0,0,0,6,0,1.9,1.9,4.3,6.3,59,62,138,0.0,0.22,0.22,0.0,0.22,0.09,0.19,0.28,0.09,0.28
Cristian Cásseres Jr.,VEN,MF,Toulouse,23,2000,32,23,1946,21.6,1,3,4,1,0,0,1,0,1.1,1.1,1.7,2.8,14,87,52,0.05,0.14,0.18,0.05,0.18,0.05,0.08,0.13,0.05,0.13
Jean-Charles Castelletto,CMR,DF,Nantes,28,1995,28,28,2464,27.4,2,0,2,2,0,0,5,0,0.6,0.6,0.8,1.4,24,100,31,0.07,0.0,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05
Maximiliano Caufriez,BEL,DF,Clermont Foot,26,1997,20,20,1659,18.4,0,1,1,0,0,0,6,3,0.4,0.4,0.2,0.6,24,61,11,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03
