Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Mo Faal,ENG,MF,West Brom,19.0,2003.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Shane Ferguson,NIR,"FW,MF",Rotherham Utd,31.0,1991.0,16.3,20,10,9,8,3,11,17,64.7,6,12,0,12,11,31,19,0
João Ferreira,POR,DF,Watford,21.0,2001.0,3.0,10,5,7,3,0,6,9,66.7,3,0,0,0,2,12,9,0
Sam Field,ENG,MF,QPR,24.0,1998.0,44.8,113,65,42,56,15,54,87,62.1,33,87,28,59,81,194,117,3
Tobias Figueiredo,POR,DF,Hull City,28.0,1994.0,18.3,16,13,12,3,1,8,13,61.5,5,20,17,3,30,46,98,3
Sonny Finch,ENG,FW,Middlesbrough,16.0,2005.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lewis Fiorini,SCO,MF,Blackpool,20.0,2002.0,10.9,24,13,13,11,0,13,25,52.0,12,16,2,14,12,36,8,0
Andy Fisher,ENG,GK,Swansea City,24.0,1998.0,25.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3
Darnell Fisher,ENG,DF,Middlesbrough,28.0,1994.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
John Fleck,SCO,MF,Sheffield Utd,30.0,1991.0,12.3,22,11,7,12,3,9,28,32.1,19,14,1,13,7,29,16,0
Brandon Fleming,ENG,"DF,FW",Hull City,22.0,1999.0,1.6,3,2,1,2,0,2,3,66.7,1,3,0,3,3,6,3,0
Zian Flemming,NED,"MF,FW",Millwall,23.0,1998.0,39.9,43,31,14,18,11,15,38,39.5,23,16,3,13,28,71,44,0
Ashley Fletcher,ENG,FW,Wigan Athletic,26.0,1995.0,13.3,11,7,0,10,1,3,10,30.0,7,12,3,9,5,16,8,0
Aden Flint,ENG,DF,Stoke City,33.0,1989.0,9.0,5,4,3,1,1,4,6,66.7,2,15,14,1,12,17,43,2
Wes Foderingham,ENG,GK,Sheffield Utd,31.0,1991.0,39.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,16,0
Tyrese Fornah,SLE,MF,Reading,22.0,1999.0,21.7,39,24,24,12,3,17,29,58.6,12,22,5,17,18,57,16,0
Marcus Forss,FIN,FW,Middlesbrough,23.0,1999.0,21.8,24,18,9,10,5,11,24,45.8,13,17,1,16,3,27,12,0
Lyle Foster,RSA,FW,Burnley,21.0,2000.0,4.1,10,4,6,3,1,0,4,0.0,4,3,0,3,0,10,2,0
Tariqe Fosu,GHA,"DF,FW",Stoke City,26.0,1995.0,13.7,34,22,18,13,3,18,26,69.2,8,20,2,18,19,53,16,0
Tariqe Fosu,GHA,"MF,FW",Rotherham Utd,26.0,1995.0,16.3,26,11,10,9,7,8,28,28.6,20,25,0,25,13,39,14,0
Morgan Fox,WAL,DF,Stoke City,28.0,1993.0,36.4,86,58,45,38,3,30,49,61.2,19,41,15,26,46,132,116,0
Luke Freeman,ENG,"MF,FW",Luton Town,30.0,1992.0,11.0,22,14,12,7,3,11,22,50.0,11,19,3,16,10,32,7,0
George Friend,ENG,DF,Birmingham City,34.0,1987.0,2.5,7,5,3,3,1,2,6,33.3,4,5,3,2,7,14,8,1
Dael Fry,ENG,DF,Middlesbrough,24.0,1997.0,25.4,30,24,23,5,2,15,19,78.9,4,29,15,14,44,74,109,0
Leo Fuhr Hjelde,NOR,DF,Rotherham Utd,18.0,2003.0,9.8,17,12,5,9,3,13,28,46.4,15,10,3,7,18,35,32,0
Jay Fulton,SCO,MF,Swansea City,28.0,1994.0,30.3,46,29,21,20,5,19,42,45.2,23,24,4,20,28,74,30,1
Darnell Furlong,ENG,DF,West Brom,26.0,1995.0,37.5,31,18,16,9,6,15,32,46.9,17,42,17,25,35,66,79,0
Jordan Gabriel,ENG,"DF,MF",Blackpool,23.0,1998.0,15.1,32,16,18,10,4,13,23,56.5,10,13,9,4,26,58,50,0
Sam Gallagher,ENG,FW,Blackburn,26.0,1995.0,25.7,26,12,7,13,6,8,17,47.1,9,28,3,25,10,36,38,0
Luke Garbutt,ENG,"DF,FW",Blackpool,29.0,1993.0,6.1,12,8,7,4,1,6,11,54.5,5,6,4,2,11,23,12,0
Gary Gardner,ENG,MF,Birmingham City,30.0,1992.0,2.8,7,5,3,2,2,3,5,60.0,2,3,2,1,1,8,5,0
